BearCode,Date,tbl_Bears_Sex,Born,AQual,VisitAge,NumCubs,ABearCodeListX
X02026,1994-08-31,F,1971,KNOWN,23,0,
X02026,1995-09-14,F,1971,KNOWN,24,0,
X02077,1971-10-30,F,1970,TOOTH,1,0,
X02077,1973-10-18,F,1970,DERIVE,3,0,
X02077,1973-10-21,F,1970,DERIVE,3,0,
X02077,1973-10-22,F,1970,DERIVE,3,0,
X02077,1973-10-26,F,1970,DERIVE,3,0,
X02077,1973-10-05,F,1970,TOOTH,3,0,
X02077,1975-10-23,F,1970,DERIVE,5,2,"X03252 (COY   M), X03253 (COY   M)"
X02077,1975-10-26,F,1970,DERIVE,5,1,X03252 (COY   M)
X02077,1981-11-12,F,1970,TOOTH,11,3,"X09139 (COY   F), X09140 (COY   M), X09141 (COY   M)"
X02077,1986-10-02,F,1970,DERIVE,16,3,"X10090 (COY   M), X10091 (COY   F), X10092 (COY   M)"
X02077,1986-09-24,F,1970,DERIVE,16,3,"X10090 (COY   M), X10091 (COY   F), X10092 (COY   M)"
X02244,1971-11-25,F,1969,DERIVE,2,0,
X02244,1972-10-29,F,1969,TOOTH,3,0,
X02244,1972-11-05,F,1969,DERIVE,3,0,
X02244,1974-10-27,F,1969,DERIVE,5,1,S00025 (COY   F)
X02244,1974-10-29,F,1969,DERIVE,5,0,
X02244,1976-10-28,F,1969,TOOTH,7,2,"X03292 (COY   F), X03293 (COY   M)"
X02244,1983-10-16,F,1969,DERIVE,14,1,X09402 (COY   F)
X02244,1983-08-13,F,1969,TOOTH,14,2,"X09402 (COY   F), X09403 (COY   F)"
X02244,1987-03-22,F,1969,DERIVE,18,1,X10267 (COY   M)
X02245,1971-11-10,F,1964,DERIVE,7,1,S00026 (COY   F)
X02245,1974-11-12,F,1964,TOOTH,10,1,X03031 (COY   F)
X02245,1978-11-01,F,1964,DERIVE,14,1,X04291 (COY   F)
X02245,1985-10-30,F,1964,DERIVE,21,0,
X02245,1985-10-31,F,1964,DERIVE,21,0,
X02245,1985-11-18,F,1964,DERIVE,21,0,
X02279,1972-10-26,F,1971,TOOTH,1,0,
X02279,1973-10-11,F,1971,TOOTH,2,0,
X02279,1973-10-12,F,1971,DERIVE,2,0,
X02279,1973-10-16,F,1971,DERIVE,2,0,
X02279,1973-10-21,F,1971,DERIVE,2,0,
X02279,1974-11-01,F,1971,DERIVE,3,0,
X02279,1975-11-05,F,1971,DERIVE,4,0,
X02279,1975-01-23,F,1971,DERIVE,4,0,
X02279,1978-11-06,F,1971,DERIVE,7,2,"X04298 (COY   M), X04299 (COY   M)"
X02279,1981-10-28,F,1971,TOOTH,10,2,"X09085 (YRLG   M), X09086 (YRLG   M)"
X02279,1983-03-10,F,1971,TOOTH,12,2,"X09347 (COY   M), X09348 (COY   F)"
X02279,1988-03-11,F,1971,DERIVE,17,2,"X10792 (COY   F), X10793 (COY   F)"
X02279,1991-09-11,F,1971,DERIVE,20,2,"X11728 (COY   M), X11729 (COY   M)"
X02279,1994-11-18,F,1971,DERIVE,23,2,"X03441 (COY   F), X03442 (COY   M)"
X02280,1972-10-22,M,1971,TOOTH,1,0,S00052 (U   F)
X02280,1981-10-21,M,1971,TOOTH,10,0,
X02280,1981-11-03,M,1971,DERIVE,10,0,
X02280,1987-08-27,M,1971,DERIVE,16,0,
X02280,1989-11-10,M,1971,DERIVE,18,0,
X02280,1989-09-08,M,1971,DERIVE,18,0,
X02280,1991-09-12,M,1971,DERIVE,20,0,
X03019,1974-10-30,F,1970,TOOTH,4,0,
X03019,1974-11-08,F,1970,DERIVE,4,0,
X03019,1981-02-28,F,1970,TOOTH,11,2,"X05975 (COY   M), X05976 (COY   F)"
X03019,1995-09-04,F,1970,DERIVE,25,0,
X03019,1996-09-13,F,1970,DERIVE,26,0,
X03019,1997-09-07,F,1970,DERIVE,27,0,
X03019,1999-09-14,F,1970,DERIVE,29,0,
X03022,1974-10-24,F,1972,TOOTH,2,0,
